full_name,channel
Jennifer Gray,cnn
Gabriella Bachara,cnn
Donald Judd Maegan Vazquez,cnn
Shawn Nottingham,cnn
Nick Paton Walsh,cnn
David Wright,cnn
Nic Robertson Saleem Mehsud,cnn
Saleem Mehsud,cnn
David Goldman,cnn
Jeff Simon,cnn
Amanda Musa Raja Razek Steve Almasy,cnn
Ana Cucalon,cnn
David Von Blohn,cnn
Karol Suarez,cnn
Keith Russell,cnn
Sam Kiley,cnn
Nadia Kounang,cnn
Sujata Assomull,cnn
Chelsea Lee,cnn
Andrew Carey Amir Tal,cnn
Andrew Carey,cnn
Amir Tal,cnn
Lexi Schroeder,cnn
Don Lemon George Ramsay,cnn
Don Lemon,cnn
Colleen Farrell,cnn
Sara Weisfeldt,cnn
Alice Gainer,cnn
Rob North Livvy Doherty,cnn
Rob North,cnn
Chris Hoffman,cnn
Jennifer Borrasso,cnn
Andrew Menezes,cnn
Christopher Allbritton,cnn
Sara O'Brien,cnn
Tom Dougherty,cnn
Jeremy Herb Eric Cheung,cnn
Sarah Diab,cnn
Logan Garvey,cnn
Lauren Caruso,cnn
Mike Darnay,cnn
Briana Smith,cnn
Marshall Cohen Avery Lotz,cnn
Clarissa Wei,cnn
Raja Razek Michelle Krupa,cnn
Michelle Krupa,cnn
Kristen Holmes Gaborr,cnn
Kristen Holmes,cnn
Reg Chapman,cnn
Adam Duwel,cnn
Jessica Dean Ali Zaslav,cnn
Pamela Brown,cnn
Ed Upright,cnn
Kiely Westhoff,cnn
Hannah Rabinowitz Tierney Sneed,cnn
Cheri Mossburg Nouran,cnn
Sen Federico-O'Murch,cnn
Dan Merica Gregory Krieg,cnn
Megan C Hills,cnn
Donald Judd Kate Sullivan,cnn
Ashley Hoak,cnn
Eric O'Neil,cnn
Thomas Mates,cnn
Louisa Moller,cnn
Cotovio Olga Voitovych,cnn
TW Starr - Ktbs Tv,cnn
Tw Starr,cnn
Najahe Sherman,cnn
Christina Vercelletto,cnn
Leyla Santiago,cnn
Dana Kozlov,cnn
Elliott Ramos,cnn
Adam Pourahmadi,cnn
Brienne Walsh,cnn
Claudia Rebaza Jose Armijo,cnn
Jose Armijo,cnn
Pete Muntean Nicky Robertson,cnn
Nicky Robertson,cnn
Aziza Ahmed Ji Seon Song,cnn
Aziza Ahmed,cnn
Ji Seon Song,cnn
Kristen Mirand,cnn
Annie Gimbel,cnn
Sonia Moghe Amya Henry,cnn
Clare Foran Ali Zaslav,cnn
Laura Ly Ray Sanchez,cnn
David Zurawik,cnn
Rodrigo Pedroso Jack Guy,cnn
Rosa Flores Rosalina Nieves,cnn
Mary Nelson,cnn
Ben Wedeman,cnn
Steve Almasy Karan Olson,cnn
Karan Olson,cnn
David G Allan,cnn
Jana Decamilla,cnn
Martha Rose Brown T D Staff,cnn
Martha Rose Brown,cnn
Melissa Alonso Ray Sanchez,cnn
Rafy Rivera,cnn
